region,Municipality,PM2.5,Distance to mines,Distance to roads,Precipitation,Temperature,Wind,Percentage of urban,Percentage of agriculture,Percentage of range land,Percentage forest,Percentage of barren land
Metropolitana de Santiago,La Granja,30.4,48.6,1.5,381.8,15.3,2.0,91.4,25.9,0.0,0.0,0.0
Metropolitana de Santiago,La Cisterna,30.4,48.6,1.5,381.8,15.3,2.0,91.4,25.9,0.0,0.0,0.0
Metropolitana de Santiago,San Ramon,30.4,48.6,1.5,381.8,15.3,2.0,91.4,25.9,0.0,0.0,0.0
Metropolitana de Santiago,El Bosque,30.1,48.0,1.4,381.8,15.3,2.0,89.6,26.1,34.9,11.1,0.0
Metropolitana de Santiago,San Miguel,29.7,43.2,1.3,379.7,15.3,2.0,94.1,16.5,11.1,12.5,0.0
Metropolitana de Santiago,San Joaquin,29.7,43.0,1.3,379.6,15.3,2.0,94.3,16.0,11.1,12.5,0.0
Metropolitana de Santiago,Pedro Aguirre Cerda,29.4,40.4,1.2,377.1,15.3,2.0,94.8,14.0,11.3,12.5,0.0
Metropolitana de Santiago,Santiago,29.3,40.1,1.3,378.5,15.4,2.0,95.7,11.1,11.1,12.5,0.0
Metropolitana de Santiago,Providencia,29.3,40.1,1.3,378.5,15.4,2.0,95.7,11.1,11.1,12.5,0.0
Metropolitana de Santiago,Independencia,29.3,40.1,1.3,378.5,15.4,2.0,95.7,11.1,11.1,12.5,0.0
Metropolitana de Santiago,Macul,29.1,42.5,1.6,387.5,15.2,2.0,92.3,14.4,14.8,17.5,0.0
Metropolitana de Santiago,Lo Espejo,29.0,46.0,1.1,381.6,15.3,2.0,84.0,26.6,34.9,11.1,0.0
Metropolitana de Santiago,Estacion central,28.8,35.8,0.8,366.1,15.2,1.9,93.1,19.7,12.5,12.5,0.0
Metropolitana de Santiago,Quinta Normal,28.8,35.4,0.8,364.9,15.2,1.9,92.8,20.5,12.7,12.5,0.0
Metropolitana de Santiago,Cerro Navia,28.7,34.5,0.7,362.4,15.2,1.9,92.3,22.2,13.0,0.0,0.0
Metropolitana de Santiago,Lo Prado,28.7,34.5,0.7,362.4,15.2,1.9,92.3,22.2,13.0,0.0,0.0
Metropolitana de Santiago,La Pintana,28.5,48.0,1.3,392.9,15.3,2.0,79.7,30.2,20.7,21.4,0.0
Metropolitana de Santiago,Cerrillos,28.3,38.7,0.7,370.7,15.3,1.9,86.3,24.4,22.6,11.1,0.0
Metropolitana de Santiago,Ñuñoa,28.1,41.6,2.0,400.2,15.1,2.0,89.2,11.3,18.7,22.8,0.0
Metropolitana de Santiago,La Reina,26.1,44.2,3.2,436.5,14.6,2.1,78.5,11.6,31.3,40.1,0.0
Metropolitana de Santiago,Recoleta,25.7,36.5,1.1,381.5,15.1,2.0,77.8,14.2,25.8,21.5,0.0
Metropolitana de Santiago,Renca,25.7,29.9,0.8,355.0,15.1,1.9,75.1,33.0,20.3,12.5,0.0
Metropolitana de Santiago,La Florida,24.3,50.6,3.0,477.3,13.8,2.3,64.7,20.1,28.2,43.7,16.8
Metropolitana de Santiago,Peñalolen,24.1,44.3,4.0,458.6,13.4,2.4,77.0,12.7,34.9,38.6,27.6
Metropolitana de Santiago,San Bernardo,24.0,41.5,0.9,406.5,15.5,2.0,50.7,45.1,23.3,17.2,11.5
Metropolitana de Santiago,Puente Alto,23.9,51.0,2.1,472.2,14.7,2.1,59.7,29.2,21.7,43.1,11.1
Metropolitana de Santiago,Maipu,23.7,38.4,1.0,383.7,15.1,2.0,54.8,31.7,30.6,18.6,11.1
Libertador General Bernardo O'Higgins,Olivar,23.2,28.0,0.8,500.7,17.4,1.9,24.6,66.2,33.3,20.7,18.0
Libertador General Bernardo O'Higgins,Graneros,23.1,17.5,1.6,597.7,17.2,2.0,21.5,63.3,17.8,51.3,25.3
Metropolitana de Santiago,Calera de Tango,23.0,39.6,0.8,404.6,15.5,1.9,47.8,45.2,20.0,26.5,11.1
Libertador General Bernardo O'Higgins,Rancagua,22.8,18.3,2.0,590.5,16.8,2.1,28.5,53.7,32.8,40.0,22.6
Metropolitana de Santiago,Quilicura,22.4,24.2,0.8,345.5,14.9,1.9,56.2,46.0,28.2,19.3,0.0
Metropolitana de Santiago,Peñaflor,21.5,35.5,0.8,411.4,15.7,1.9,40.3,42.3,21.6,30.6,0.0
Metropolitana de Santiago,Talagante,21.3,31.6,0.9,427.2,16.0,1.9,40.3,44.2,18.1,38.0,13.6
Metropolitana de Santiago,Vitacura,21.2,35.0,1.4,446.1,14.4,2.2,57.2,12.8,26.2,39.6,0.0
Metropolitana de Santiago,Conchali,21.2,30.4,0.9,378.7,14.9,2.1,54.5,23.0,42.5,33.5,0.0
Metropolitana de Santiago,Las Condes,21.0,39.9,4.5,479.2,12.1,2.7,67.1,11.7,38.7,36.2,34.2
Metropolitana de Santiago,Huechuraba,20.9,31.7,0.9,385.6,14.8,2.1,54.0,18.4,45.5,33.5,0.0
Libertador General Bernardo O'Higgins,Coinco,20.8,35.5,0.7,540.5,16.5,1.9,17.8,55.2,35.6,20.1,14.6
Metropolitana de Santiago,Padre Hurtado,20.7,39.9,1.0,398.8,15.3,2.0,31.3,41.9,31.2,25.6,0.0
Metropolitana de Santiago,Buin,20.7,31.1,0.9,465.1,16.1,2.0,29.1,59.0,19.7,25.5,12.0
Libertador General Bernardo O'Higgins,Codegua,20.6,15.0,6.6,685.6,12.5,2.9,30.0,47.1,28.6,43.3,22.9
Libertador General Bernardo O'Higgins,Mostazal,19.9,20.7,8.3,680.0,12.1,2.9,20.5,34.1,44.3,42.8,14.5
Metropolitana de Santiago,Isla de Maipo,19.8,21.5,1.3,474.0,16.2,2.0,24.8,50.4,20.1,45.4,13.0
Biobio,Hualpen,19.7,289.9,2.8,938.6,12.8,3.7,45.3,19.0,21.8,21.3,23.6
Metropolitana de Santiago,Pirque,19.5,44.3,5.2,603.7,12.5,2.7,28.6,32.0,40.3,45.7,16.3
Libertador General Bernardo O'Higgins,Quinta de Tilcoco,19.3,43.3,0.6,541.1,16.1,1.8,15.0,66.2,42.5,16.4,17.9
Metropolitana de Santiago,El Monte,19.3,24.2,1.2,449.5,15.9,2.0,24.3,47.7,20.9,41.5,11.1
Metropolitana de Santiago,Paine,19.1,21.5,3.3,571.1,15.1,2.2,21.7,45.2,36.3,43.3,14.6
Metropolitana de Santiago,Pudahuel,19.0,30.0,1.6,391.4,14.5,2.0,37.4,32.8,33.8,32.6,11.1
Libertador General Bernardo O'Higgins,Doñihue,19.0,24.6,2.5,636.6,15.4,2.1,20.3,40.7,27.9,48.0,13.5
Metropolitana de Santiago,San Jose de Maipo,18.7,29.4,13.7,552.1,1.8,5.5,14.7,14.3,40.8,15.2,43.3
Libertador General Bernardo O'Higgins,Requinoa,18.3,26.1,5.6,751.3,13.4,2.6,21.0,51.4,25.4,53.5,15.5
Libertador General Bernardo O'Higgins,Machali,18.1,29.2,15.0,755.8,5.3,4.5,24.5,20.0,34.8,25.5,23.6
Libertador General Bernardo O'Higgins,Malloa,17.5,51.3,2.2,689.3,14.4,2.1,20.6,53.6,28.0,42.9,12.7
Libertador General Bernardo O'Higgins,Rengo,17.5,40.3,8.1,754.8,12.0,2.8,21.8,59.8,29.5,41.5,17.8
Libertador General Bernardo O'Higgins,San Vicente,17.2,47.6,1.5,634.4,14.9,1.9,18.5,51.9,28.2,39.6,13.9
Metropolitana de Santiago,Melipilla,16.9,18.3,1.8,494.5,16.0,2.2,20.5,44.2,27.8,41.6,11.3
Valparaiso,Viña del Mar,16.7,20.3,1.5,507.0,14.8,3.1,47.5,14.6,21.4,46.9,16.7
Libertador General Bernardo O'Higgins,Coltauco,16.7,37.0,2.3,620.8,15.3,2.0,17.4,48.0,22.7,47.3,13.5
Metropolitana de Santiago,Lampa,16.5,15.5,2.5,390.2,14.0,2.2,25.8,36.9,40.0,32.9,12.7
Libertador General Bernardo O'Higgins,Placilla,16.5,49.6,1.3,775.9,14.2,1.9,19.3,53.8,27.0,49.2,20.6
Valparaiso,El Quisco,16.3,12.1,0.7,545.2,15.6,3.2,28.9,15.3,25.3,45.5,21.9
Metropolitana de Santiago,Lo Barnechea,16.1,22.3,5.8,485.5,5.9,4.3,27.4,12.3,52.3,26.5,34.8
Libertador General Bernardo O'Higgins,Peumo,16.1,43.0,1.4,586.4,15.7,1.9,15.0,56.1,26.2,42.0,12.1
Biobio,Talcahuano,15.9,283.2,1.7,944.0,12.7,3.7,37.3,17.8,23.2,20.9,0.0
Metropolitana de Santiago,Colina,15.6,22.9,5.1,380.5,12.4,2.7,26.8,29.7,48.8,38.1,21.0
Maule,Talca,15.6,79.1,0.8,798.1,13.9,1.9,27.0,68.2,20.8,22.8,0.0
Libertador General Bernardo O'Higgins,Chimbarongo,15.5,59.6,1.7,863.9,13.7,2.0,16.1,63.3,16.5,47.5,18.5
Valparaiso,La Cruz,14.8,21.0,1.0,398.9,14.9,2.5,27.4,50.9,19.3,36.1,11.1
Metropolitana de Santiago,Maria Pinto,14.8,31.1,1.9,474.1,15.6,2.2,14.5,47.4,35.9,37.0,11.1
Libertador General Bernardo O'Higgins,Nancagua,14.8,37.4,1.1,787.7,14.4,1.9,14.0,60.7,19.9,46.0,16.2
Libertador General Bernardo O'Higgins,San Fernando,14.6,65.1,9.6,852.8,7.2,3.9,15.3,33.6,47.2,41.2,23.4
Antofagasta,Ollagüe,14.5,29.4,6.0,37.4,4.6,4.5,28.6,0.0,48.4,14.0,75.1
